Contraste	Contexts
b,m	v,ih	ax,ae	ae,s	s,eh
f,m	v,ih	ax,ae	t,eh	eh,ax
d,hh	v,ih	ax,ae	t,eh	eh,ax
p,d	v,ih	ax,ae	ae,s	eh,ax
p,hh	v,ih	ax,ae	ax,ih	ax,ao
r,d	v,ih	eh,hh	t,eh	eh,ax
r,hh	v,ih	t,eh	eh,ax	k,ih
s,d	v,ih	ax,ae	eh,hh	t,eh
s,hh	v,ih	ax,ae	t,eh	eh,ax
b,d	v,ih	ax,ae	ae,s	ax,ih
b,hh	v,ih	ax,ae	t,eh	ax,ih
hh,m	v,ih	ax,ae	t,eh	eh,ax
n,hh	ax,ae	eh,ax	ax,ih	ax,ao
n,m	ax,ae	ae,s	eh,hh	eh,ax
d,l	v,ih	ax,ae	eh,hh	eh,ax
hh,l	v,ih	ax,ae	t,eh	eh,ax
k,d	ax,ae	ae,s	eh,ax	eh,s
k,hh	ax,ae	eh,ax	ax,ih	ax,ao
k,l	ih,ao	ax,ae	ae,s	s,aa
v,d	v,ih	ax,ae	ae,s	eh,ax
v,hh	v,ih	ax,ae	eh,ax	ax,ih
v,l	v,ih	ax,ae	ae,s	eh,ax
w,d	v,ih	t,eh	ax,ih	ax,ao
w,hh	v,ih	t,eh	k,ih	ax,ih
w,l	v,ih	ax,uh	s,aa	t,eh
d,m	v,ih	ax,ae	ae,s	eh,hh
g,d	ax,ae	ax,ih	eh,z	t,aa
g,hh	ax,ae	ax,ih	s,ih	t,aa
g,m	ax,ae	t,eh	ax,ih	d,ao
z,d	v,ih	ax,ae	ae,s	eh,ax
t,d	v,ih	ax,ae	ae,s	f,ih
t,hh	v,ih	ax,ae	eh,ax	k,ih
f,d	v,ih	ax,ae	t,eh	ae,d
f,hh	v,ih	ax,ae	ax,ih	ax,ao
z,hh	v,ih	ax,ae	eh,ax	ax,ih
b,l	v,ih	ax,ae	ae,s	t,eh
l,m	v,ih	ax,ae	ae,s	eh,hh
r,m	v,ih	eh,hh	t,eh	eh,ax
v,m	v,ih	ax,ae	ae,s	eh,ax
w,m	v,ih	t,eh	s,eh	ax,ih
z,m	v,ih	ax,ae	ae,s	eh,ax
